Vehicle_ID,Speed_kmh,Battery_State_%,Battery_Voltage_V,Battery_Temperature_C,Driving_Mode,Road_Type,Traffic_Condition,Slope_%,Weather_Condition,Temperature_C,Humidity_%,Wind_Speed_ms,Tire_Pressure_psi,Vehicle_Weight_kg,Distance_Travelled_km,Energy_Consumption_kWh
1102,111.5073664,30.41514794,378.0915252,25.31478638,2,1,1,6.879445724,4,0.741770214,42.17253328,7.829253297,31.11202026,1822.967368,20.75750843,12.05431684
1435,48.61232334,97.38553378,392.7183769,18.2407551,1,2,1,-3.007212319,4,-3.495516154,57.01842689,4.495571703,31.50436558,2091.831914,0.64291763,4.488701048
1860,108.7333203,84.91260022,398.9934951,44.4491453,1,1,3,0.029584526,1,9.248274673,69.02891114,5.144488601,33.83801471,1816.702497,40.8428236,11.70137694
1270,38.57948415,28.7779041,358.1282732,28.98015487,1,2,2,8.271943046,3,2.86840899,86.63834947,4.518283254,33.25601449,1283.102642,5.305228736,7.389265565
1106,57.17243836,29.74015981,310.8881616,33.18455111,2,1,1,2.776814426,2,16.75024402,27.18918475,4.26340572,33.57967828,2160.350788,5.825925674,6.761205202
1071,27.12347974,67.55790839,345.9129908,19.75870477,1,3,1,1.019222312,4,1.629873672,31.00586926,10.40132509,34.07530665,1275.074773,2.510091061,4.319060504
1700,76.85712506,47.59113393,378.7601146,21.2628918,3,2,2,8.582446484,4,1.206748143,55.62096266,9.75395549,31.33249644,1831.921072,10.10103953,9.285725137
1020,117.4777338,22.79246873,302.7725325,21.74116699,1,3,3,-3.599832133,2,34.46405428,49.29324728,3.063963519,33.46176647,2320.219762,8.92313245,10.15437538
1614,72.41917153,63.33132063,305.6887438,34.45574968,1,3,1,2.096841744,1,36.45826156,48.75573125,10.3727808,28.47623166,1352.59361,17.45850522,8.734982031
1121,42.93769009,51.02760797,306.7157782,26.57971727,1,3,2,4.78561147,3,38.38972939,40.78730521,4.366028939,31.11182496,2118.616286,32.99759267,9.139607591
1466,77.73809352,28.08611939,373.1035758,28.11892784,3,3,2,4.128121585,3,25.62260993,59.2479359,3.025775018,28.21092872,1260.226303,2.809281959,9.355296347
1214,14.75048142,84.15363138,350.1166629,30.72010438,1,2,3,-1.035853184,2,29.69574272,81.83018353,11.20877821,34.40720546,2490.977504,43.02776043,6.935742892
1330,106.6390896,93.20614122,336.8897944,36.90840797,1,1,2,3.449693568,1,32.61031399,31.26470384,5.443021392,34.70889647,2086.712294,16.39627291,9.893371837
1458,60.37007409,80.52751472,310.5617045,13.1629412,2,2,3,5.628426464,2,24.65149266,35.07004306,8.540257865,28.58757342,2459.686505,30.36970582,8.731184312
1087,53.92196904,85.7937848,373.224025,37.19058693,2,2,2,3.77328111,3,9.860939712,66.95764485,3.001859407,31.72838651,2068.691154,0.699055099,7.207605095
1372,70.30377461,37.31924538,332.1019811,29.71322741,1,1,1,5.26693339,2,2.03741493,23.9338358,9.20540756,30.27597724,1514.968082,18.35381496,7.948397966
1099,74.97406353,41.08583607,326.532407,33.41834057,2,3,3,-1.158818909,2,5.677298822,67.16349397,3.119901519,30.39773999,2404.273868,0.202340504,8.199243244
1871,8.613096747,36.68220322,365.2319202,21.46431177,1,1,2,7.492734254,3,32.81863231,42.01193056,2.503153852,31.15490043,2014.67124,8.356367852,4.371990694
1663,81.91406655,81.20507451,355.9010893,24.32853929,1,3,1,1.745343055,3,26.32437572,45.0497752,5.797928577,28.87546176,1948.718166,22.44773648,8.607421885
1130,29.03180164,95.83336631,336.2410642,18.09080369,3,2,2,9.808357662,3,15.51080936,48.38845617,11.85092759,29.26539139,1757.845461,26.80086236,7.185772096
1661,85.6743159,77.34697654,364.1487471,44.27549991,1,1,1,-4.65072019,2,-3.676771527,44.4711293,2.648015224,32.04158062,1569.972082,7.731137126,8.010846035
1308,98.70417533,90.51734119,327.122152,27.39510404,2,1,3,0.704730569,2,6.97919667,78.88467349,1.755398513,28.13129137,1889.090441,37.28629225,10.10417532
